timestamp,snapshot,pod,cpu,ram
17:56:45,9,recommendationservice-7444754ff5-kk4vc,32m,80Mi
17:56:45,9,productcatalogservice-65bbf699df-d9cxl,20m,42Mi
17:56:45,9,cartservice-db96d6fcc-tsdhc,19m,145Mi
17:56:45,9,adservice-574bff445c-k5l76,9m,274Mi
17:56:45,9,emailservice-66944ff59-zvg4w,4m,56Mi
17:56:45,9,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:56:45,9,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:56:45,9,shippingservice-f956b6d9f-ml5cg,3m,31Mi
17:56:45,9,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:56:45,9,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:56:45,9,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:56:45,9,frontend-7bd6f45654-dnhzb,45m,41Mi
17:56:45,9,currencyservice-7c8fc8fc9c-rtbz4,36m,121Mi
17:56:45,9,recommendationservice-7444754ff5-kk4vc,32m,80Mi
17:56:45,9,productcatalogservice-65bbf699df-d9cxl,20m,42Mi
17:56:45,9,cartservice-db96d6fcc-tsdhc,19m,145Mi
17:56:45,9,adservice-574bff445c-k5l76,9m,274Mi
17:56:45,9,emailservice-66944ff59-zvg4w,4m,56Mi
17:56:45,9,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:56:45,9,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:56:45,9,shippingservice-f956b6d9f-ml5cg,3m,31Mi
17:56:45,9,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:56:45,9,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:56:45,9,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:56:55,10,frontend-7bd6f45654-dnhzb,45m,41Mi
17:56:55,10,currencyservice-7c8fc8fc9c-rtbz4,36m,121Mi
17:56:55,10,recommendationservice-7444754ff5-kk4vc,32m,80Mi
17:56:55,10,productcatalogservice-65bbf699df-d9cxl,20m,42Mi
17:56:55,10,cartservice-db96d6fcc-tsdhc,19m,145Mi
17:56:55,10,adservice-574bff445c-k5l76,9m,274Mi
17:56:55,10,emailservice-66944ff59-zvg4w,4m,56Mi
17:56:55,10,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:56:55,10,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:56:55,10,shippingservice-f956b6d9f-ml5cg,3m,31Mi
17:56:55,10,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:56:55,10,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:56:55,10,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:56:55,10,frontend-7bd6f45654-dnhzb,45m,41Mi
17:56:55,10,currencyservice-7c8fc8fc9c-rtbz4,36m,121Mi
17:56:55,10,recommendationservice-7444754ff5-kk4vc,32m,80Mi
17:56:55,10,productcatalogservice-65bbf699df-d9cxl,20m,42Mi
17:56:55,10,cartservice-db96d6fcc-tsdhc,19m,145Mi
17:56:55,10,adservice-574bff445c-k5l76,9m,274Mi
17:56:55,10,emailservice-66944ff59-zvg4w,4m,56Mi
17:56:55,10,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:56:55,10,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:56:55,10,shippingservice-f956b6d9f-ml5cg,3m,31Mi
17:56:55,10,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:56:55,10,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:56:55,10,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:57:05,11,frontend-7bd6f45654-dnhzb,47m,41Mi
17:57:05,11,currencyservice-7c8fc8fc9c-rtbz4,37m,121Mi
17:57:05,11,recommendationservice-7444754ff5-kk4vc,35m,80Mi
17:57:05,11,productcatalogservice-65bbf699df-d9cxl,22m,42Mi
17:57:05,11,cartservice-db96d6fcc-tsdhc,22m,145Mi
17:57:05,11,adservice-574bff445c-k5l76,9m,274Mi
17:57:05,11,emailservice-66944ff59-zvg4w,5m,56Mi
17:57:05,11,checkoutservice-5b6d96c9b7-fwtng,4m,37Mi
17:57:05,11,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:57:05,11,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:57:05,11,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:57:05,11,productcatalogservice-65bbf699df-2hv25,1m,18Mi
