timestamp,snapshot,pod,cpu_m,ram_mi
18:08:40,10,frontend-7bd6f45654-dnhzb,13,43
18:08:40,10,frontend-7bd6f45654-jwp2b,15,21
18:08:40,10,frontend-7bd6f45654-xmsf8,5,21
18:08:40,10,paymentservice-9bfb7bf5-9mdwz,3,126
18:08:40,10,paymentservice-9bfb7bf5-w2dt7,6,68
18:08:40,10,paymentservice-9bfb7bf5-x4kz9,9,66
18:08:40,10,productcatalogservice-65bbf699df-2hv25,1,19
18:08:40,10,productcatalogservice-65bbf699df-8ztwv,2,19
18:08:40,10,productcatalogservice-65bbf699df-d9cxl,12,42
18:08:40,10,recommendationservice-7444754ff5-kk4vc,17,80
18:08:40,10,recommendationservice-7444754ff5-w69fs,9,54
18:08:40,10,recommendationservice-7444754ff5-w769g,7,51
18:08:40,10,redis-cart-c8ff86559-gpcc7,3,36
18:08:40,10,shippingservice-f956b6d9f-g5j6b,2,15
18:08:40,10,shippingservice-f956b6d9f-m2h7g,2,15
18:08:40,10,shippingservice-f956b6d9f-ml5cg,2,31
18:08:50,11,adservice-574bff445c-2zzqg,7,147
18:08:50,11,adservice-574bff445c-4w7zh,18,185
18:08:50,11,adservice-574bff445c-k5l76,5,275
18:08:50,11,cartservice-db96d6fcc-6kndn,10,123
18:08:50,11,cartservice-db96d6fcc-tsdhc,10,145
18:08:50,11,cartservice-db96d6fcc-x6v6f,6,94
18:08:50,11,checkoutservice-5b6d96c9b7-fwtng,2,37
18:08:50,11,checkoutservice-5b6d96c9b7-lwnbx,1,15
18:08:50,11,checkoutservice-5b6d96c9b7-tvvwl,1,15
18:08:50,11,currencyservice-7c8fc8fc9c-6tsnv,14,98
18:08:50,11,currencyservice-7c8fc8fc9c-rtbz4,13,124
18:08:50,11,currencyservice-7c8fc8fc9c-s92sq,3,72
18:08:50,11,emailservice-66944ff59-62x8j,4,56
18:08:50,11,emailservice-66944ff59-xh284,4,56
18:08:50,11,emailservice-66944ff59-zvg4w,4,56
18:08:50,11,frontend-7bd6f45654-dnhzb,14,43
18:08:50,11,frontend-7bd6f45654-jwp2b,12,21
18:08:50,11,frontend-7bd6f45654-xmsf8,4,21
18:08:50,11,paymentservice-9bfb7bf5-9mdwz,2,126
18:08:50,11,paymentservice-9bfb7bf5-w2dt7,2,68
18:08:50,11,paymentservice-9bfb7bf5-x4kz9,2,66
18:08:50,11,productcatalogservice-65bbf699df-2hv25,1,19
18:08:50,11,productcatalogservice-65bbf699df-8ztwv,4,19
18:08:50,11,productcatalogservice-65bbf699df-d9cxl,11,43
18:08:50,11,recommendationservice-7444754ff5-kk4vc,18,80
18:08:50,11,recommendationservice-7444754ff5-w69fs,7,54
18:08:50,11,recommendationservice-7444754ff5-w769g,3,51
18:08:50,11,redis-cart-c8ff86559-gpcc7,3,36
18:08:50,11,shippingservice-f956b6d9f-g5j6b,1,15
18:08:50,11,shippingservice-f956b6d9f-m2h7g,2,15
18:08:50,11,shippingservice-f956b6d9f-ml5cg,2,31
18:09:01,12,adservice-574bff445c-2zzqg,8,147
18:09:01,12,adservice-574bff445c-4w7zh,27,188
18:09:01,12,adservice-574bff445c-k5l76,5,275
18:09:01,12,cartservice-db96d6fcc-6kndn,10,126
18:09:01,12,cartservice-db96d6fcc-tsdhc,11,145
18:09:01,12,cartservice-db96d6fcc-x6v6f,10,95
18:09:01,12,checkoutservice-5b6d96c9b7-fwtng,3,37
18:09:01,12,checkoutservice-5b6d96c9b7-lwnbx,1,15
18:09:01,12,checkoutservice-5b6d96c9b7-tvvwl,1,15
18:09:01,12,currencyservice-7c8fc8fc9c-6tsnv,20,100
18:09:01,12,currencyservice-7c8fc8fc9c-rtbz4,13,124
18:09:01,12,currencyservice-7c8fc8fc9c-s92sq,3,72
18:09:01,12,emailservice-66944ff59-62x8j,4,56
18:09:01,12,emailservice-66944ff59-xh284,4,56
18:09:01,12,emailservice-66944ff59-zvg4w,5,56
18:09:01,12,frontend-7bd6f45654-dnhzb,14,43
18:09:01,12,frontend-7bd6f45654-jwp2b,15,21
18:09:01,12,frontend-7bd6f45654-xmsf8,5,21
18:09:01,12,paymentservice-9bfb7bf5-9mdwz,3,126
18:09:01,12,paymentservice-9bfb7bf5-w2dt7,3,68
